Metric,Panel,Model,1,5,22
QLIKE,SP500/CC,HAR,-5.99483,-5.64949,-5.29407
QLIKE,SP500/CC,ARIMA,-6.00857,-5.84882,-5.71279
QLIKE,SP500/CC,GARCH,-8.26243,-8.15961,-8.1187
QLIKE,SP500/CC,LSTM,-8.27885,-8.19436,-8.12272
QLIKE,SP500/CC,CNN_LSTM,-8.28243,-8.19998,-7.73253
QLIKE,SP500/CC,Transformer,-8.25216,-8.18228,-8.11119
QLIKE,SP500/CC,PatchTST_lite,-7.99988,-8.11202,-8.07714
QLIKE,SP500/Parkinson,HAR,-8.72532,-8.53149,-8.43388
QLIKE,SP500/Parkinson,ARIMA,-8.72149,-8.52459,-8.37451
QLIKE,SP500/Parkinson,GARCH,-8.67326,-8.56216,-8.4795
QLIKE,SP500/Parkinson,LSTM,-8.83238,-8.68144,-8.60191
QLIKE,SP500/Parkinson,CNN_LSTM,-8.80997,-8.675,-8.28326
QLIKE,SP500/Parkinson,Transformer,-8.81301,-8.65445,-8.55036
QLIKE,SP500/Parkinson,PatchTST_lite,-8.75439,-8.62898,-8.40002
QLIKE,SP500/YangZhang,HAR,-8.5369,-8.50727,-8.28581
QLIKE,SP500/YangZhang,ARIMA,-8.53695,-8.50808,-8.26215
QLIKE,SP500/YangZhang,GARCH,-8.46057,-8.45368,-8.30452
QLIKE,SP500/YangZhang,LSTM,-8.53587,-8.50374,-8.25684
QLIKE,SP500/YangZhang,CNN_LSTM,-8.53459,-8.50405,-8.18531
QLIKE,SP500/YangZhang,Transformer,-8.52669,-8.48859,-8.252
QLIKE,SP500/YangZhang,PatchTST_lite,-8.51622,-8.49697,-8.25232
QLIKE,NASDAQ100/CC,HAR,-5.56196,-5.40294,-5.094
QLIKE,NASDAQ100/CC,ARIMA,-5.56264,-5.487,-5.34996
QLIKE,NASDAQ100/CC,GARCH,-7.6168,-7.56179,-7.51476
QLIKE,NASDAQ100/CC,LSTM,-7.64437,-7.52781,-7.43519
QLIKE,NASDAQ100/CC,CNN_LSTM,-7.64406,-7.46115,-7.52461
QLIKE,NASDAQ100/CC,Transformer,-7.62421,-7.58362,-7.25114
QLIKE,NASDAQ100/CC,PatchTST_lite,-7.56823,-7.4456,-7.49232
QLIKE,NASDAQ100/Parkinson,HAR,-8.15059,-8.03817,-7.94485
QLIKE,NASDAQ100/Parkinson,ARIMA,-8.15514,-8.03442,-7.90533
QLIKE,NASDAQ100/Parkinson,GARCH,-8.06313,-7.99564,-7.93504
QLIKE,NASDAQ100/Parkinson,LSTM,-8.22629,-8.10583,-8.0252
QLIKE,NASDAQ100/Parkinson,CNN_LSTM,-8.2323,-8.12706,-8.08343
QLIKE,NASDAQ100/Parkinson,Transformer,-8.2293,-8.10198,-7.95824
QLIKE,NASDAQ100/Parkinson,PatchTST_lite,-8.20934,-8.09833,-7.97592
QLIKE,NASDAQ100/YangZhang,HAR,-7.78839,-7.76479,-7.58345
QLIKE,NASDAQ100/YangZhang,ARIMA,-7.78842,-7.76525,-7.57598
QLIKE,NASDAQ100/YangZhang,GARCH,-7.7476,-7.74293,-7.61992
QLIKE,NASDAQ100/YangZhang,LSTM,-7.78789,-7.76831,-7.63004
QLIKE,NASDAQ100/YangZhang,CNN_LSTM,-7.78802,-7.76798,-7.60169
QLIKE,NASDAQ100/YangZhang,Transformer,-7.77693,-7.76663,-7.44656
QLIKE,NASDAQ100/YangZhang,PatchTST_lite,-7.77146,-7.76394,-7.52567
QLIKE,DJIA/CC,HAR,-6.29486,-5.92592,-5.83978
QLIKE,DJIA/CC,ARIMA,-6.0463,-5.8479,-6.16158
QLIKE,DJIA/CC,GARCH,-8.46503,-8.36424,-8.33356
QLIKE,DJIA/CC,LSTM,-8.48456,-8.40613,-8.3511
QLIKE,DJIA/CC,CNN_LSTM,-8.49423,-8.39441,-8.09072
QLIKE,DJIA/CC,Transformer,-8.48125,-8.40566,-8.34019
QLIKE,DJIA/CC,PatchTST_lite,-8.30667,-8.3217,-8.2357
QLIKE,DJIA/Parkinson,HAR,-8.80557,-8.6523,-8.58804
QLIKE,DJIA/Parkinson,ARIMA,-8.81407,-8.6635,-8.58398
QLIKE,DJIA/Parkinson,GARCH,-8.7725,-8.66932,-8.589
QLIKE,DJIA/Parkinson,LSTM,-8.87402,-8.75567,-8.69957
QLIKE,DJIA/Parkinson,CNN_LSTM,-8.87042,-8.75232,-8.66244
QLIKE,DJIA/Parkinson,Transformer,-8.87356,-8.70348,-8.63662
QLIKE,DJIA/Parkinson,PatchTST_lite,-8.8348,-8.71994,-8.66415
QLIKE,DJIA/YangZhang,HAR,-8.69965,-8.67519,-8.50362
QLIKE,DJIA/YangZhang,ARIMA,-8.69966,-8.67539,-8.47368
QLIKE,DJIA/YangZhang,GARCH,-8.61987,-8.61299,-8.47743
QLIKE,DJIA/YangZhang,LSTM,-8.6986,-8.67742,-8.52492
QLIKE,DJIA/YangZhang,CNN_LSTM,-8.69879,-8.67455,-8.43853
QLIKE,DJIA/YangZhang,Transformer,-8.68954,-8.67169,-8.48833
QLIKE,DJIA/YangZhang,PatchTST_lite,-8.67634,-8.65596,-8.46077
RMSE,SP500/CC,HAR,0.00034,0.00034,0.00034
RMSE,SP500/CC,ARIMA,0.00034,0.00034,0.00034
RMSE,SP500/CC,GARCH,0.00032,0.00033,0.00033
RMSE,SP500/CC,LSTM,0.0003,0.00035,0.00033
RMSE,SP500/CC,CNN_LSTM,0.00033,0.00033,0.00034
RMSE,SP500/CC,Transformer,0.0003,0.00033,0.00032
RMSE,SP500/CC,PatchTST_lite,0.0005,0.00034,0.00033
RMSE,SP500/Parkinson,HAR,0.00014,0.00016,0.00016
RMSE,SP500/Parkinson,ARIMA,0.00014,0.00016,0.00016
RMSE,SP500/Parkinson,GARCH,0.00016,0.00019,0.00018
RMSE,SP500/Parkinson,LSTM,0.00011,0.00016,0.00016
RMSE,SP500/Parkinson,CNN_LSTM,0.00012,0.00017,0.00017
RMSE,SP500/Parkinson,Transformer,0.00013,0.00017,0.00016
RMSE,SP500/Parkinson,PatchTST_lite,0.00012,0.00016,0.00017
RMSE,SP500/YangZhang,HAR,1e-05,4e-05,9e-05
RMSE,SP500/YangZhang,ARIMA,1e-05,4e-05,9e-05
RMSE,SP500/YangZhang,GARCH,8e-05,7e-05,0.00011
