Index,Estimator,Horizon,Model,QLIKE,RMSE,MAE,QLIKE_rank
SP500,CC,1,HAR,-5.994830708256981,0.00033724954041422793,0.00010681570371597995,7.0
SP500,CC,1,ARIMA,-6.008571177501944,0.00033895861638628673,0.00010689980759619598,6.0
SP500,CC,1,GARCH,-8.262427277694,0.0003199517273999393,0.0001266015246048371,3.0
SP500,CC,1,LSTM,-8.278850966570749,0.0003047745891701781,0.0001182709727406654,2.0
SP500,CC,1,CNN_LSTM,-8.282432497741796,0.00033414379851440294,0.00012929309281069812,1.0
SP500,CC,1,Transformer,-8.252164887905444,0.00029975760354158856,0.00011356491080346678,4.0
SP500,CC,1,PatchTST_lite,-7.999882488083199,0.0004953119399475547,0.0001563300093550497,5.0
SP500,CC,5,HAR,-5.6494887272407235,0.00034021213985213324,0.00010726762129190932,7.0
SP500,CC,5,ARIMA,-5.848820804827205,0.000339810504800011,0.00010732049185277962,6.0
SP500,CC,5,GARCH,-8.15960705654455,0.0003330411699707729,0.0001300560623884793,4.0
SP500,CC,5,LSTM,-8.194362408737115,0.0003502871991857661,0.00014113285864586863,2.0
SP500,CC,5,CNN_LSTM,-8.19997818389366,0.000331526486495644,0.00013018256677907109,1.0
SP500,CC,5,Transformer,-8.182279751828835,0.00032559613700647826,0.00011851319161488174,3.0
SP500,CC,5,PatchTST_lite,-8.112021057267075,0.0003386317639495557,0.00012274881407307577,5.0
SP500,CC,22,HAR,-5.294070274063597,0.00034258569522287077,0.00010928678905787316,7.0
SP500,CC,22,ARIMA,-5.71279319580412,0.00034119078568574336,0.00010807797788597548,6.0
SP500,CC,22,GARCH,-8.118695462828402,0.0003323770980573008,0.00013793423987088765,2.0
SP500,CC,22,LSTM,-8.122718471404662,0.00033073246842760094,0.0001328073317925649,1.0
SP500,CC,22,CNN_LSTM,-7.732533968065653,0.0003359433709049416,0.00012027647427543835,5.0
SP500,CC,22,Transformer,-8.111191720053261,0.000324249655594166,0.00013335573752440566,3.0
SP500,CC,22,PatchTST_lite,-8.077143350121077,0.0003304484651116148,0.00014135917584602624,4.0
SP500,Parkinson,1,HAR,-8.72532307031631,0.00014138251540810466,4.499935424437576e-05,5.0
SP500,Parkinson,1,ARIMA,-8.721492773932102,0.0001432923766829765,4.497270174513826e-05,6.0
SP500,Parkinson,1,GARCH,-8.673258928023003,0.00016203701165628007,8.077525960005178e-05,7.0
SP500,Parkinson,1,LSTM,-8.832383872642712,0.00011261521120198059,4.902096832265471e-05,1.0
SP500,Parkinson,1,CNN_LSTM,-8.809965460495444,0.00011650616897295981,4.7114231427114116e-05,3.0
SP500,Parkinson,1,Transformer,-8.813010508174932,0.0001252523361272339,4.6612955024171955e-05,2.0
SP500,Parkinson,1,PatchTST_lite,-8.754386558416755,0.00012324415736229526,4.9426794507283576e-05,4.0
SP500,Parkinson,5,HAR,-8.531490709391147,0.00015643617032407554,5.085260634535551e-05,6.0
